shopNo,distCode,district_name,officeCode_txn,office_name,noOfRcs,noOfTrans,total_rice,wheat,sugar,rgdal,kerosene,salt,totalAmount,otherShopTransCnt,totalRcs,totalUnits,utilization_ratio,rice_wheat_ratio,portability_ratio,commodity_total,longitude,latitude,fpsStatus,fpsType,cluster_id,pca1,pca2,dbscan_label,is_anomaly,cluster_persona,cluster_avg_utilization,utilization_gap,utilization_gap_abs,peer_anomaly_flag
1407012,538,Mahbubnagar,538007,Koilkonda,79.0,83.0,2080.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,158.0,638.0,0.5253164556962026,0.0,0.03614457831325301,2080.0,77.798366,16.78199,Active,Normal Shop,0,-3.1586410050032367,0.9443450728005074,0,0,High Utilization Shops,1.1202724129566903,-0.5949559572604878,0.5949559572604878,1
1407033,538,Mahbubnagar,538007,Koilkonda,183.0,188.0,5201.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,391.0,1795.0,0.48081841432225064,0.0,0.0425531914893617,5201.0,77.735049,16.759811,Active,Normal Shop,0,-1.8822408419729053,0.13961069699185694,0,0,High Utilization Shops,1.1202724129566903,-0.6394539986344396,0.6394539986344396,1
1407042,538,Mahbubnagar,538007,Koilkonda,123.0,126.0,3988.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,224.0,1153.0,0.5625,0.0,0.03968253968253968,3988.0,77.738075,16.782087,Active,Normal Shop,0,-2.589812897002475,0.6093409697991374,0,0,High Utilization Shops,1.1202724129566903,-0.5577724129566903,0.5577724129566903,1
1408016,538,Mahbubnagar,538008,Hanwada,281.0,285.0,6838.0,0.0,0.0,0.0,0.0,11.0,55.0,8.0,477.0,1870.0,0.5974842767295597,0.0,0.028070175438596492,6849.0,77.81468,16.87254,Active,Normal Shop,0,-1.5605740607079375,0.10038578350828156,-1,1,High Utilization Shops,1.1202724129566903,-0.5227881362271306,0.5227881362271306,0
1408020,538,Mahbubnagar,538008,Hanwada,177.0,177.0,3689.0,0.0,0.0,0.0,0.0,4.0,20.0,21.0,338.0,1179.0,0.5236686390532544,0.0,0.11864406779661017,3693.0,77.818157,16.83988,Active,Normal Shop,0,-2.3403813492110417,0.5841781490118042,-1,1,High Utilization Shops,1.1202724129566903,-0.5966037739034359,0.5966037739034359,1
1408021,538,Mahbubnagar,538008,Hanwada,126.0,126.0,3139.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,240.0,831.0,0.525,0.0,0.06349206349206349,3139.0,77.800534,16.858914,Active,Normal Shop,0,-2.7468233178812524,0.718468967401205,0,0,High Utilization Shops,1.1202724129566903,-0.5952724129566903,0.5952724129566903,1
1421001,538,Mahbubnagar,538021,Midjil,323.0,323.0,7295.0,0.0,0.0,0.0,0.0,3.0,15.0,215.0,426.0,1299.0,0.7582159624413145,0.0,0.6656346749226006,7298.0,78.320578,16.743884,Active,Normal Shop,0,-0.7967705762920947,0.506338155722747,-1,1,High Utilization Shops,1.1202724129566903,-0.3620564505153758,0.3620564505153758,0
1421003,538,Mahbubnagar,538021,Midjil,204.0,207.0,4410.0,0.0,0.0,0.0,0.0,9.0,45.0,20.0,251.0,827.0,0.8247011952191236,0.0,0.0966183574879227,4419.0,78.297262,16.742003,Active,Normal Shop,0,-2.5382025863454487,0.8062291820896227,-1,1,High Utilization Shops,1.1202724129566903,-0.2955712177375668,0.2955712177375668,0
1421004,538,Mahbubnagar,538021,Midjil,285.0,286.0,5738.0,5.0,0.0,0.0,0.0,0.0,35.0,11.0,444.0,1368.0,0.6441441441441441,1147.6,0.038461538461538464,5743.0,78.316475,16.754424,Active,Normal Shop,0,-1.4390343315349212,0.2220583771979118,-1,1,High Utilization Shops,1.1202724129566903,-0.4761282688125462,0.4761282688125462,0
1421005,538,Mahbubnagar,538021,Midjil,265.0,269.0,5356.0,0.0,0.0,0.0,0.0,4.0,20.0,14.0,366.0,1126.0,0.7349726775956285,0.0,0.05204460966542751,5360.0,78.313486,16.694573,Active,Normal Shop,0,-1.9991387603039157,0.3099180710714089,-1,1,High Utilization Shops,1.1202724129566903,-0.3852997353610619,0.3852997353610619,0
